,name,Age,Dribbling / Reflexes,Passing / Kicking,Shooting / Handling,International reputation,Total mentality,Shot power,Total power,Ball control,Finishing,Log Market Value
336,Lázaro LM RM ST,21,74,68,71,1,291,66,339,76,76,16.06680235657077
337,M. Prati CDM CM,19,72,73,64,1,335,74,359,75,58,15.761420707019587
338,B. White RB CB,25,75,73,31,2,315,50,315,79,24,17.19990082131005
339,M. Edwards RW LW ST,24,86,71,73,1,284,74,312,84,73,17.182806387950748
340,M. Kean ST LW,23,76,58,76,2,295,84,401,75,77,17.16541464523888
341,N. Okafor ST CAM,23,78,69,76,1,294,75,390,79,78,16.883563493097892
342,G. Reyna CAM RM LM,20,82,74,73,2,295,78,371,80,71,17.14771506813948
343,R. Gravenberch CM,21,83,78,76,1,338,78,388,85,76,17.49181122987135
344,Fran García LB,23,77,69,49,2,309,63,336,77,42,17.111347423968603
345,R. Cherki CAM LW RW,19,82,72,67,2,284,76,321,79,64,16.012735135300492
346,Pedri CM,20,88,82,69,3,355,68,369,88,72,18.469470908121796
347,João Pedro ST CAM,21,77,64,72,1,261,72,352,76,75,16.06680235657077
348,G. Raspadori CF ST LW,23,81,68,78,2,310,75,343,83,80,17.385043254445645
349,P. Kalulu CB RB,23,69,68,50,1,323,66,349,74,43,17.073607095985757
350,F. Farías CAM CF,20,83,68,72,1,316,82,365,80,69,16.34123920227253
351,R. Reitz CM,21,75,70,67,1,344,67,329,74,70,15.60727002719233
353,E. Wahi ST,20,79,67,79,2,297,78,374,78,81,16.90655301132259
354,D. Scarlett ST,19,64,51,62,1,256,62,322,63,64,13.9108207377686
355,Q. Merlin LB LWB LM,21,76,74,59,1,323,69,317,76,49,16.012735135300492
356,Filipe Relvas CB LB CM,23,60,63,41,1,275,58,337,68,30,16.25785759333348
357,B. Barcola LW RW,20,77,72,73,1,298,74,342,77,75,16.860032995687696
358,F. Redondo CM CDM,20,74,70,62,1,344,71,367,77,59,16.012735135300492
359,A. Mazilu RW ST RM,17,69,59,66,1,257,68,316,69,67,14.73180128983843
360,23 E. Hazard LW,31,85,81,77,4,344,81,346,85,74,16.883563493097892
361,W. Zaha LM LW,30,85,72,78,2,336,83,382,86,80,17.034386382832476
362,M. Icardi ST,30,73,69,81,3,337,81,385,77,85,17.054189010128656
363,D. Alli CM CAM,27,76,75,76,3,362,76,355,80,78,15.38412647587812
364,A. Saint-Maximin LM LW,26,88,73,73,2,278,82,378,83,72,17.23323724157764
365,D. Upamecano CB,24,72,63,45,3,312,64,351,75,39,17.610999747136468
366,B. White RB CB,25,75,73,31,2,315,50,315,79,24,17.19990082131005
367,Jota LM RM,24,81,72,71,2,299,73,342,82,70,16.588099280204055
368,M. Edwards RW LW ST,24,86,71,73,1,284,74,312,84,73,17.182806387950748
369,E. Dier CB,29,62,68,63,2,345,82,388,67,52,16.012735135300492
370,E. Can CDM CB,29,79,77,78,3,400,85,422,79,74,17.24949776244942
371,R. Guerreiro LB LM CM,29,88,85,78,3,347,79,339,89,78,17.111347423968603
372,B. Godfrey CB LB,25,65,60,44,2,298,53,334,67,35,15.60727002719233
373,G. Lo Celso CAM ST,27,84,82,74,2,376,80,368,85,73,17.19990082131005
374,L. Martínez ST,25,85,71,86,3,377,85,420,86,90,18.435569356446116
375,C. Nkunku CF CAM ST,25,88,83,81,3,360,79,373,88,86,18.275654971902107
377,B. Kamara CDM CM,23,75,73,54,2,349,67,371,80,47,17.43985149094064
378,R. Kolo Muani ST,24,84,72,80,3,306,82,392,83,83,17.72753356339242
379,W. McKennie CM CDM RM,24,77,75,72,2,367,76,393,79,70,16.166885815127753
380,Rúben Dias CB,26,69,66,39,4,314,74,352,75,29,18.483655543113755
381,Éder Militão CB,25,71,69,50,3,353,62,360,72,48,18.197537192638155
382,E. Elmas CAM CM LW,23,84,76,73,2,357,79,365,85,73,17.327055996795295
383,Hugo Duro ST LM,23,72,67,74,1,324,76,380,74,75,15.955576721460545
384,E. Loiodice CM CDM,22,77,74,64,1,341,73,353,79,58,16.34123920227253
385,J. Ramsey LM CM RM,22,80,73,75,1,346,78,383,78,77,16.883563493097892
386,E. Fernández CM CDM CAM,22,80,81,73,3,390,83,399,84,66,17.697074355907713
387,D. Hancko CB LB,25,74,72,64,2,360,74,391,77,60,17.23323724157764
388,A. Bella Kotchap CB,21,50,50,25,1,251,40,298,60,20,16.012735135300492
389,J. Gvardiol CB LB,21,74,69,54,3,352,76,384,76,42,17.610999747136468
390,A. Al Musrati CDM CM,27,71,71,66,1,363,79,391,78,61,17.09265529095645
391,Vitinha CM,23,85,79,70,2,379,73,343,85,68,17.41282281855272
392,P. Kalulu CB RB,23,69,68,50,1,323,66,349,74,43,17.073607095985757
393,W. Pacho CB,21,60,57,32,1,270,41,312,67,30,16.811242831518264
394,L. Netz LWB LM,20,72,69,48,1,313,59,303,72,46,15.89495209964411
395,R. Reitz CM,21,75,70,67,1,344,67,329,74,70,15.60727002719233
396,A. Scott CM CAM,19,77,71,62,1,321,63,335,75,63,15.520258650202699
397,S. Raebiger CM CAM,18,66,65,52,1,283,60,252,64,48,13.9108207377686
398,F. Chiarodia CB,18,55,49,33,1,222,42,269,51,26,14.151982794585487
399,Matheus França CAM LM RM,19,75,59,70,1,256,69,340,75,74,14.946912669455374
400,L. Koleosho LM RM RW,18,74,60,59,1,251,64,279,73,60,14.978661367769956
401,Pablo Torre CAM LM CM,20,74,74,63,1,292,60,299,75,64,15.520258650202699
402,H. Ito CB LB,24,68,67,57,2,304,78,374,71,48,15.830413578506539
404,A. Danjuma ST,26,82,75,79,1,317,80,377,82,80,16.860032995687696
405,T. Lamptey RB RWB LB,22,77,66,44,1,300,48,240,71,47,15.89495209964411
406,M. Vandevoordt GK,21,76,73,74,1,111,55,217,27,7,16.213405830762646
407,J. Clarke LM LWB,22,75,66,72,1,303,71,331,72,75,16.06680235657077
408,J. David ST,23,78,71,80,3,330,79,403,79,82,17.182806387950748
409,E. Tapsoba CB,24,70,67,54,2,341,74,345,74,57,17.312018119430753
410,Q. Timber CM CAM CDM,22,78,72,68,1,357,77,402,78,64,16.883563493097892
411,A. Diallo RW CAM,20,79,63,71,1,264,74,314,78,73,16.06680235657077
412,H. Sudakov CAM LM,20,74,71,72,1,272,73,370,74,71,16.34123920227253
413,C. Patino CM CDM,19,68,71,48,1,322,56,287,70,46,14.946912669455374
414,M. Rogers LM ST LW,20,68,60,64,1,263,70,340,67,64,14.73180128983843
415,A. Varela CDM CM,21,73,73,60,1,343,70,360,76,54,16.811242831518264
416,K. Schade RW ST LW,21,72,59,64,1,278,68,326,70,68,15.520258650202699
417,A. Devine CAM CM,18,63,63,59,1,295,65,287,65,58,14.28551418721001
418,P. Wanner CAM LM RM,17,70,62,52,1,271,61,252,72,49,14.603967918328545
419,Pablo Barrios CM,20,75,72,68,1,353,72,334,77,69,16.61887093887081
420,Sergio Ramos CB,37,70,73,69,4,404,79,365,78,65,15.687312734865866
421,Grimaldo LWB LM,27,85,86,72,3,364,82,392,86,64,17.99756070060548
422,P. Dybala CF CAM ST,29,90,85,85,3,345,84,378,93,83,18.03501826314038
423,P. Højbjerg CDM CM,27,78,78,73,2,371,85,402,80,68,17.576710673657836
425,D. Solanke ST,25,73,65,76,1,315,76,397,73,79,16.11809565095832
426,Marcos Llorente CM RM,28,81,80,80,3,393,84,415,81,81,17.553180176247643
427,O. Zinchenko LB,26,83,84,66,2,372,78,365,85,58,17.1296965626368
428,F. de Jong CM CDM,26,87,86,69,4,374,68,379,89,72,18.455082170669698
429,C. Nkunku CF CAM ST,25,88,83,81,3,360,79,373,88,86,18.275654971902107
430,R. Lewandowski ST,34,87,80,91,5,395,91,432,90,93,17.875953568510692
431,P. Aubameyang ST,34,77,72,81,3,321,81,375,79,83,16.166885815127753
432,L. Trossard CF LW,28,84,78,80,2,299,80,367,83,81,17.09265529095645
433,F. Dimarco LWB LM CB,25,80,80,75,2,380,76,380,84,71,17.553180176247643
434,J. St. Juste CB,26,74,65,58,2,339,66,345,75,59,16.300417207752275
435,A. Wan-Bissaka RB,25,77,68,50,2,336,70,327,73,44,17.054189010128656
436,Lucas Paquetá CAM LM CM,25,85,79,77,2,386,77,391,86,78,17.516812532076766
437,C. Kouamé ST RW LW,25,77,68,72,1,317,75,372,77,75,16.454567887579532
438,N. Mazraoui RB,25,83,77,66,2,351,68,362,84,69,17.19990082131005
439,J. Foyth RB CB CDM,25,72,71,46,1,324,56,331,78,43,17.054189010128656
440,P. Estupiñán LB,25,78,71,47,1,343,41,319,80,48,17.014183675514957
441,N. Lang LW,24,85,72,75,1,349,72,356,84,77,17.09265529095645
442,Bremer CB,26,65,56,50,1,312,68,360,65,49,17.7073308560749
443,T. Lamptey RB RWB LB,22,77,66,44,1,300,48,240,71,47,15.89495209964411
444,A. Buongiorno CB,24,64,69,45,1,302,65,338,71,36,16.90655301132259
445,A. Laurienté LW LM,24,82,75,76,1,285,81,342,82,74,17.182806387950748
446,P. De la Vega RM LM,22,75,69,73,1,327,77,380,73,73,16.34123920227253
448,J. Durán ST,19,66,50,69,1,249,80,360,68,73,14.880221294956703
449,F. Balogun ST,21,78,62,79,1,294,77,377,78,83,17.16541464523888
450,Riquelme LM LWB,23,81,75,75,1,316,76,318,79,77,16.90655301132259
451,Y. Musah CM RM CDM,20,76,71,68,1,342,77,367,77,66,16.012735135300492
452,F. Pellistri RW LW,21,75,66,62,1,302,68,329,72,60,15.250595083253597
453,A. Adli ST LM,23,82,69,75,1,320,78,369,82,78,16.883563493097892
454,M. Cho ST,19,76,64,69,1,260,70,333,76,72,15.424948470398375
455,N. Patterson RB RWB,21,69,61,46,1,284,62,319,69,41,15.424948470398375
456,Arribas CAM RM LM,21,75,67,75,1,280,72,300,79,79,15.520258650202699
457,B. Meijer LB LM LWB,20,67,68,62,1,304,79,395,70,58,15.687312734865866
458,Z. Amdouni ST CAM,22,76,69,74,1,320,74,371,77,76,16.06680235657077
459,Vanderson RWB RM RB,22,77,74,62,2,338,62,342,76,63,16.835935444108635
460,A. Devine CAM CM,18,63,63,59,1,295,65,287,65,58,14.28551418721001
461,L. Gechter CB LB,19,48,49,32,1,235,50,297,49,26,14.808762330974558
462,Mosquera CB RB,19,55,57,44,1,278,61,338,66,39,15.363073066680286
463,M. Soulé RW RM,20,79,74,66,1,266,66,314,80,63,16.11809565095832
464,T. Iroegbunam CDM CM,20,66,63,57,1,305,68,330,68,54,14.648419680899378
465,S. Kumbedi RB RWB,18,72,62,42,1,294,50,276,71,39,15.150511624696614
466,Andrey Santos CM CDM,19,73,66,56,1,313,55,314,73,59,15.150511624696614
467,Álex Jiménez RB LB,18,66,57,52,1,280,45,278,63,55,14.403297222866392
468,Barrenetxea LW RW,21,80,65,71,1,253,75,298,78,74,16.34123920227253
469,M. Wieffer CDM CM,23,74,73,64,1,356,74,381,80,58,16.835935444108635
470,M. Trésor LM LW CAM,24,80,79,71,1,325,71,321,78,71,16.811242831518264
471,S. Pavlović CB,22,64,50,43,1,262,56,340,68,43,16.300417207752275
472,S. Mara ST,20,68,53,68,1,258,68,348,68,71,15.068273526459642
473,M. Gusto RB,20,75,68,49,1,321,60,333,74,44,16.556350581889475
474,H. Sudakov CAM LM,20,74,71,72,1,272,73,370,74,71,16.34123920227253
475,S. Curtis RB CB RWB,17,58,52,33,1,255,30,257,59,37,13.815510557964274
476,T. Rothe LWB,18,65,65,45,1,284,58,319,69,43,15.03928598958639
477,F. Chaïbi LM CM,20,74,76,69,1,347,70,350,75,76,16.61887093887081
478,G. Orban ST,20,73,62,79,1,273,83,361,71,81,16.06680235657077
479,O. Bobb RW,19,74,63,61,1,253,66,252,73,62,14.880221294956703
480,L. Suárez ST,36,78,78,86,4,378,86,389,81,87,16.489659207390805
481,E. Cavani ST,36,71,68,80,4,377,83,367,75,81,15.096444403426338
482,R. Lukaku ST,30,77,74,84,4,347,87,414,78,86,17.541203985200926
483,Isco CAM LM CM,31,83,80,72,3,349,69,318,85,72,16.67771143889374
484,C. Bakambu ST,32,72,66,74,2,301,76,358,73,75,15.341566861459324
485,R. Varane CB,30,69,64,49,3,318,52,337,75,46,17.356469882001587
486,M. Salah RW,31,88,82,87,5,376,82,411,86,92,18.26402693390699
487,Ederson GK,29,87,91,82,3,206,68,287,45,14,18.064005800013632
488,N. Kanté CDM CM,32,80,73,65,4,380,71,360,81,64,17.622173047734595
489,Dani Ceballos CM,26,82,78,70,2,365,76,345,84,67,16.835935444108635
490,F. Dimarco LWB LM CB,25,80,80,75,2,380,76,380,84,71,17.553180176247643
491,Hwang Hee Chan LW ST RW,27,78,70,77,1,334,75,379,76,79,16.523560759066484
492,A. Onana GK,27,85,87,75,3,155,65,279,38,12,17.24949776244942
493,E. Ávila ST RM LM,29,78,65,81,2,353,85,416,77,81,16.860032995687696
494,D. Kamada CAM CM CF,26,83,80,73,2,349,65,347,83,75,17.23323724157764
495,M. Mount CM CAM RW,24,80,82,78,3,363,81,369,81,78,17.37085861945369
496,R. Le Normand CB,26,59,54,26,1,241,40,304,72,19,17.385043254445645
497,P. Schick ST,27,81,71,80,3,309,81,399,82,82,17.385043254445645
498,L. Robertone CM CAM CDM,26,79,77,76,2,381,80,393,80,76,16.883563493097892
499,N. Mazraoui RB,25,83,77,66,2,351,68,362,84,69,17.19990082131005
500,Bremer CB,26,65,56,50,1,312,68,360,65,49,17.7073308560749
501,R. Baku RB RW,25,81,73,72,2,360,77,385,78,71,16.489659207390805
502,Miranda LB,23,75,72,62,1,315,79,359,78,55,16.556350581889475
503,S. Tonali CDM CM,23,81,81,74,3,386,82,415,85,69,18.246327356807587
504,T. Weah RM RWB RB,23,75,67,70,2,326,73,365,74,70,15.955576721460545
505,A. Sambi Lokonga CDM CM,23,77,74,58,1,326,68,337,80,53,15.60727002719233
506,C. Jones CM,22,80,74,69,1,356,74,366,82,66,16.883563493097892
507,A. Dovbyk ST RW,26,70,63,76,1,313,77,398,72,80,16.454567887579532
508,A. Buongiorno CB,24,64,69,45,1,302,65,338,71,36,16.90655301132259
509,J. David ST,23,78,71,80,3,330,79,403,79,82,17.182806387950748
510,M. Simakan CB RB,23,69,65,43,2,324,61,338,71,39,17.182806387950748
511,Matheus Cunha ST CAM CF,24,82,75,77,2,340,82,386,82,76,16.883563493097892
512,M. Retegui ST,24,70,64,77,1,308,78,387,76,82,16.883563493097892
513,L. Ramazani RM LM ST,22,77,64,67,2,301,67,300,75,70,15.761420707019587
514,F. Nmecha CM LM,22,80,72,69,1,360,79,390,81,67,16.929025867174648
515,M. van Ewijk RB RWB,22,71,65,57,1,306,68,355,69,52,16.213405830762646
516,S. Dest RB LB,22,81,73,59,1,324,65,341,77,58,16.523560759066484
517,L. Clarkson CM CDM CAM,21,75,73,65,1,314,72,312,75,61,15.424948470398375
518,R. Yılmaz LB,22,77,65,50,1,298,64,303,74,43,15.687312734865866
519,M. Trésor LM LW CAM,24,80,79,71,1,325,71,321,78,71,16.811242831518264
520,P. Reyna LB LM,21,59,63,55,1,283,67,370,67,47,15.201804919084164
521,E. Anderson CM LW,20,77,70,65,1,345,68,362,76,66,15.424948470398375
522,Z. Debast CB,19,69,67,53,1,297,61,337,73,51,15.363073066680286
523,J. Enciso LM CAM RM,19,76,65,71,1,289,77,298,75,69,15.201804919084164
524,K. Sulemana LW LM ST,21,79,66,69,1,268,70,331,78,71,16.06680235657077
525,M. Fofana LM CF ST,18,77,63,58,1,245,58,263,72,58,14.978661367769956
526,E. Martel CDM CB,21,69,60,51,1,301,53,351,70,50,16.012735135300492
527,J. Sforza CDM CM,21,69,69,60,1,311,68,344,68,57,15.123843377614453
528,D. Rensch RB CB LB,20,72,66,56,1,321,57,320,75,60,16.012735135300492
529,Arribas CAM RM LM,21,75,67,75,1,280,72,300,79,79,15.520258650202699
530,Gabriel Veron RM LM,20,79,68,67,1,273,63,300,79,71,16.34123920227253
531,C. Medina CM,21,79,72,64,1,338,64,333,79,67,16.34123920227253
532,M. Estève CB,21,54,52,33,1,247,61,314,62,26,16.012735135300492
533,Diego López LM RM CAM,21,72,68,68,1,280,66,322,72,73,15.761420707019587
534,Rodrigo Muniz ST,22,67,56,69,1,293,76,357,68,69,14.978661367769956
535,A. Sylla CB,20,68,56,30,1,275,58,311,68,19,15.38412647587812
536,L. Langoni RM ST RW,21,73,63,68,1,279,66,337,69,72,15.520258650202699
537,S. Borza LB LM,17,67,65,61,1,289,68,336,68,58,14.77102200299171
538,Y. Minteh RW LW,18,74,55,58,1,251,60,262,71,63,15.068273526459642
539,Ângelo RM RW,18,77,66,56,1,240,59,266,76,59,15.29711509888849
540,Parejo CM CDM,34,78,90,81,2,400,80,378,85,78,17.034386382832476
541,C. Bakambu ST,32,72,66,74,2,301,76,358,73,75,15.341566861459324
542,M. Depay CF LW ST,29,84,81,81,4,345,85,412,84,81,17.41282281855272
543,H. Çalhanoğlu CM CDM,29,85,86,80,3,395,86,372,88,75,17.776323727561852
544,L. Goretzka CM CDM,28,83,81,81,4,393,85,435,84,81,17.80449460452855
545,Bernardo Silva CM RW,28,92,86,78,3,391,79,371,91,78,18.33184953024575
546,D. van de Beek CM CAM CDM,26,76,74,77,3,365,82,358,83,75,16.012735135300492
547,T. Adarabioyo CB,25,62,57,31,1,264,36,296,72,30,16.454567887579532
548,Mikel Merino CM CAM,27,82,82,78,2,402,84,414,85,79,17.686711568872166
549,G. Scamacca ST,24,74,66,78,2,300,81,391,79,80,16.883563493097892
550,A. Onana GK,27,85,87,75,3,155,65,279,38,12,17.24949776244942
551,Cryzan ST LM,26,70,69,73,1,306,75,388,69,75,15.363073066680286
552,R. Nelson RW LW,23,78,71,67,1,288,69,311,79,70,16.012735135300492
553,D. Kamada CAM CM CF,26,83,80,73,2,349,65,347,83,75,17.23323724157764
554,T. Adams CDM CM,24,72,67,48,3,347,51,329,72,48,16.34123920227253
555,O. Mangala CM CDM,25,82,72,54,2,326,66,351,82,43,16.166885815127753
556,T. Ndombele CM CDM CAM,26,85,79,71,2,352,79,347,85,68,16.34123920227253
557,R. Sessegnon LB LWB,23,76,72,64,1,351,67,322,77,66,15.89495209964411
558,M. Gibbs-White CAM CF LW,23,79,75,72,1,343,74,362,79,73,16.61887093887081
559,E. Ndicka CB,23,71,72,53,2,326,65,364,76,49,16.759949537130716
560,Y. Bissouma CDM CM,26,81,74,67,2,358,79,387,81,58,17.034386382832476
561,M. Bułka GK,23,81,69,74,1,102,52,233,15,8,16.99356438831222
562,L. Klostermann CB RB,27,71,64,50,2,306,58,334,73,55,16.67771143889374
563,K. Piątek ST,28,70,54,72,2,290,73,366,71,74,14.690979295318174
564,F. Kessié CDM CM,26,79,74,76,3,404,84,427,82,73,17.341871082580436
565,T. Hernández LB LM,25,81,76,71,3,363,83,415,79,67,18.0051652999907
566,Raphinha RW,26,86,78,79,3,372,83,396,85,78,17.64415195445337
567,A. Ramsdale GK,25,86,87,79,2,167,65,239,36,14,17.576710673657836
568,A. Hakimi RB RWB,24,80,80,76,3,374,82,403,82,75,17.73748389424559
569,D. Raum LB LM,25,77,77,59,2,327,64,373,77,57,16.64872390202049
571,D. Frattesi CM,23,81,78,73,1,371,76,368,85,73,17.41282281855272
572,T. Mitchell LB,23,70,60,39,1,318,40,286,70,36,16.166885815127753
574,R. Aït-Nouri LWB LB,22,78,69,52,1,314,61,321,78,50,16.11809565095832
575,K. Nakamura LM LW,22,75,71,74,1,306,76,372,75,75,16.34123920227253
576,D. McNeil LM,23,78,75,66,1,313,68,343,79,66,16.25785759333348
577,M. Hjulmand CDM CM,24,72,75,58,1,342,65,364,76,52,16.835935444108635
578,Eric García CB CDM RB,22,68,69,44,2,307,51,307,74,42,16.213405830762646
579,M. van Ewijk RB RWB,22,71,65,57,1,306,68,355,69,52,16.213405830762646
580,A. Colpani CF CM CAM,24,77,76,71,1,334,76,379,80,69,16.523560759066484
581,T. Harwood-Bellis CB,21,65,60,36,1,284,59,310,69,29,16.012735135300492
582,Adrián Bernabé CM CDM,22,77,72,67,1,328,68,324,79,69,15.424948470398375
583,Talles Magno CF ST LM,21,80,61,62,1,259,65,335,86,64,15.761420707019587
584,E. Anderson CM LW,20,77,70,65,1,345,68,362,76,66,15.424948470398375
585,Z. Debast CB,19,69,67,53,1,297,61,337,73,51,15.363073066680286
586,P. Wimmer RW CF,22,81,71,69,2,314,77,368,79,69,16.64872390202049
587,K. Taylor CM CDM,21,74,77,68,1,336,74,359,77,67,16.06680235657077
588,A. Ounahi CM,23,78,72,63,1,337,73,350,81,61,16.300417207752275
589,L. King CB,19,65,60,34,1,235,47,293,67,23,14.557447902693651
590,L. Sučić CAM CM,20,74,74,73,1,322,79,360,75,71,16.06680235657077
591,K. Gordon RW LW,18,65,54,57,1,232,55,251,61,60,13.815510557964274
592,Kaio Jorge ST,21,76,59,70,1,259,74,330,79,74,15.250595083253597
593,C. Medina CM,21,79,72,64,1,338,64,333,79,67,16.34123920227253
594,E. Bove CM,21,74,67,68,1,350,75,354,78,68,16.06680235657077
595,M. Ugalde ST,21,74,65,74,1,304,72,344,77,79,16.06680235657077
596,C. Doyle CB LB,19,69,67,37,1,289,48,321,73,23,15.424948470398375
597,J. Fazzini CM CAM,20,70,67,51,1,315,71,314,71,41,14.808762330974558
598,T. Rothe LWB,18,65,65,45,1,284,58,319,69,43,15.03928598958639
599,Fran Pérez RM LM,20,74,70,68,1,286,67,320,74,67,15.687312734865866
600,K. Trippier RB,32,79,86,65,2,386,82,381,85,54,17.43985149094064
601,K. Koulibaly CB,32,68,63,48,3,332,67,352,72,43,17.1296965626368
602,Roberto Firmino CF ST,31,86,79,75,3,370,77,390,87,73,16.90655301132259
603,J. Pickford GK,29,87,87,77,3,201,65,265,40,19,17.034386382832476
604,J. Ward-Prowse CM CDM CAM,28,75,86,73,2,367,81,376,80,72,16.67771143889374
605,J. Grealish LW LM,27,88,84,76,3,341,76,380,90,76,17.86729550576758
606,Marquinhos CB,29,74,75,56,3,368,65,360,79,59,18.112795964183064
607,J. Tah CB,27,62,59,37,2,291,60,340,66,32,17.41282281855272
608,Y. Mina CB,28,57,58,54,2,312,68,321,60,51,16.11809565095832
609,L. Klostermann CB RB,27,71,64,50,2,306,58,334,73,55,16.67771143889374
610,K. Piątek ST,28,70,54,72,2,290,73,366,71,74,14.690979295318174
611,D. Frattesi CM,23,81,78,73,1,371,76,368,85,73,17.41282281855272
612,Y. Atal RB RW,27,76,70,67,2,349,69,330,75,69,14.978661367769956
613,Y. Bisseck CB,22,68,60,49,1,284,60,369,71,45,16.012735135300492
614,B. Mbeumo RW ST,23,78,73,79,1,372,82,389,76,79,16.99356438831222
615,D. McNeil LM,23,78,75,66,1,313,68,343,79,66,16.25785759333348
616,V. Tsygankov RM CM CAM,25,82,80,79,2,343,76,346,83,82,17.588271496058912
617,V. Mykolenko LB LWB,24,61,64,45,1,257,47,299,66,42,15.830413578506539
618,Eric García CB CDM RB,22,68,69,44,2,307,51,307,74,42,16.213405830762646
619,V. Gendrey RB,23,65,56,34,1,279,36,292,65,34,15.424948470398375
620,J. Gelhardt CAM ST CF,21,76,60,69,1,287,76,356,75,68,15.096444403426338
621,S. Koita ST CAM,23,77,69,74,1,325,75,378,73,74,15.955576721460545
622,T. Buchanan RB RM LM,24,73,64,63,1,330,75,357,72,63,15.009433026436708
623,André Almeida CM CAM,23,76,76,66,1,348,75,342,75,57,16.012735135300492
624,H. López Muñoz CAM RM LM,22,81,68,67,1,280,74,302,77,66,16.34123920227253
625,Vivian CB,23,66,57,48,1,310,62,340,72,48,17.111347423968603
626,W. Fofana CB,22,66,55,37,1,300,48,308,67,29,17.014183675514957
627,Fábio Silva ST,20,74,58,73,1,297,73,360,76,76,15.687312734865866
628,L. Krejčí CB CDM CM,24,69,67,67,1,382,76,397,71,62,16.785925023533974
629,W. Singo CB RWB,22,72,70,57,1,332,72,374,73,55,16.811242831518264
630,Z. Debast CB,19,69,67,53,1,297,61,337,73,51,15.363073066680286
631,J. Šutalo CB,23,72,61,32,1,287,43,316,76,27,16.811242831518264
632,Fábio Carvalho CAM CM LM,20,77,68,68,1,276,66,297,78,73,16.06680235657077
633,M. Dárdai CDM CB,21,62,66,33,1,279,55,302,62,25,15.068273526459642
634,Yang Hyun Jun RW LW ST,21,74,60,65,1,275,66,315,68,65,14.914122846632385
635,L. Assignon RB,23,72,63,51,1,302,58,317,72,49,15.60727002719233
636,S. Adingra LM RM ST,21,78,67,70,1,272,70,303,75,73,16.06680235657077
637,Hugo Bueno LWB LB,20,77,71,53,1,318,55,305,78,53,15.687312734865866
638,M. Aydın RB,21,73,64,58,1,317,65,304,70,56,14.914122846632385
639,S. Coulibaly CB,19,65,54,36,1,244,56,323,67,30,15.150511624696614
640,M. Estève CB,21,54,52,33,1,247,61,314,62,26,16.012735135300492
641,N. Zalewski LWB RWB LM,21,77,73,60,1,335,72,304,79,58,15.89495209964411
642,E. Fernández CDM CM,20,72,66,47,1,308,58,345,70,38,15.687312734865866
643,E. Bove CM,21,74,67,68,1,350,75,354,78,68,16.06680235657077
644,G. Mamardashvili GK,22,82,75,79,2,86,56,252,22,9,17.1296965626368
646,B. Yılmaz RM LM,23,72,63,70,1,292,78,408,70,68,15.123843377614453
